INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,PRIMARY_AGENCY_INDICATOR
URSUS-19-0000-2017-552,CA0190000,2/15/2017,18:25,PALMDALE,LOS ANGELES,CA,93550,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,*
URSUS-19-0000-2017-57e,CA0190000,12/14/2017,3:06,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,3,*
URSUS-19-0000-2017-60f,CA0190000,7/14/2017,11:59,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,2,3,*
URSUS-19-0000-2017-669,CA0190000,5/1/2017,20:00,AGUA DULCE,LOS ANGELES,CA,91390,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-0000-2017-6f3,CA0190000,3/14/2017,14:31,WHITTIER,LOS ANGELES,CA,90605,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-0000-2017-766,CA0190000,11/20/2017,16:57,ARTESIA,LOS ANGELES,CA,90701,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-19-0000-2017-830,CA0190000,2/27/2017,15:15,ARTESIA,LOS ANGELES,CA,90701,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-83e,CA0190000,11/28/2017,22:05,SANTA CLARITA,LOS ANGELES,CA,91321,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,*
URSUS-19-0000-2017-875,CA0190000,10/31/2017,6:43,LOS ANGELES,LOS ANGELES,CA,91335,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-19-0000-2017-8d9,CA0190000,4/27/2017,13:50,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,FALSE,TRUE,in_custody_event,out_of_court,1,12,*
URSUS-19-0000-2017-949,CA0190000,4/9/2017,12:56,LA PUENTE,LOS ANGELES,CA,91744,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-961,CA0190000,10/24/2017,13:25,LOS ANGELES,LOS ANGELES,CA,90045,FALSE,FALSE,FALSE,TRUE,in_custody_event,out_of_court,1,2,*
URSUS-19-0000-2017-a05,CA0190000,12/10/2017,21:26,ARTESIA,LOS ANGELES,CA,90701,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,*
URSUS-19-0000-2017-a2b,CA0190000,4/27/2017,9:35,INGLEWOOD,LOS ANGELES,CA,90302,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,3,*
URSUS-19-0000-2017-acf,CA0190000,12/30/2017,23:05,LOS ANGELES,LOS ANGELES,CA,90001,FALSE,FALSE,TRUE,TRUE,ambush,,1,2,*
URSUS-19-0000-2017-ad4,CA0190000,9/8/2017,3:20,LA PUENTE,LOS ANGELES,CA,91744,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-b6c,CA0190000,1/21/2017,16:30,EAST LOS ANGELES,LOS ANGELES,CA,90022,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,*
URSUS-19-0000-2017-c15,CA0190000,3/20/2017,16:35,BELLFLOWER,LOS ANGELES,CA,90706,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,6,*
URSUS-19-0000-2017-c2d,CA0190000,9/11/2017,17:43,BASSETT,LOS ANGELES,CA,91746,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-c6c,CA0190000,9/26/2017,14:20,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,3,*
URSUS-19-0000-2017-ce0,CA0190000,7/12/2017,7:06,LANCASTER,LOS ANGELES,CA,93534,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-d35,CA0190000,5/11/2017,18:30,LOS ANGELES,LOS ANGELES,CA,90047,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-d6c,CA0190000,2/13/2017,14:45,LOS ANGELES,LOS ANGELES,CA,91405,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-dce,CA0190000,4/7/2017,10:10,COMPTON,LOS ANGELES,CA,90220,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-19-0000-2017-def,CA0190000,9/12/2017,15:40,HAWAIIAN GARDENS,LOS ANGELES,CA,90716,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-19-0000-2017-e8b,CA0190000,3/20/2017,7:25,TEMPLE CITY,LOS ANGELES,CA,91780,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,3,*
URSUS-19-0000-2017-e90,CA0190000,4/29/2017,15:30,PALMDALE,LOS ANGELES,CA,93591,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-ed6,CA0190000,4/14/2017,19:44,PALMDALE,LOS ANGELES,CA,93551,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,*
URSUS-19-0000-2017-f61,CA0190000,7/22/2017,2:11,LYNWOOD,LOS ANGELES,CA,90262,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-0000-2017-fbd,CA0190000,7/2/2017,17:07,LOS ANGELES,LOS ANGELES,CA,90063,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-fe2,CA0190000,12/6/2017,2:14,LOS ANGELES,LOS ANGELES,CA,90061,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,2,*
URSUS-19-0100-2017-107,CA0190100,11/18/2017,0:23,ALHAMBRA,LOS ANGELES,CA,91803,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-0100-2017-b7d,CA0190100,1/27/2017,19:25,ALHAMBRA,LOS ANGELES,CA,91801,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0500-2017-369,CA0190500,1/15/2017,23:21,AZUSA,LOS ANGELES,CA,91702,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,*
URSUS-19-0600-2017-8cf,CA0190600,11/3/2017,20:05,BALDWIN PARK,LOS ANGELES,CA,91706,FALSE,FALSE,TRUE,TRUE,consensual,,1,2,*
URSUS-19-0B00-2017-50c,CA0190B00,7/22/2017,3:30,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-19-1000-2017-9b0,CA0191000,8/3/2017,20:51,BEVERLY HILLS,LOS ANGELES,CA,90211,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-2000-2017-24c,CA0192000,6/15/2017,19:35,NORWALK,LOS ANGELES,CA,90650,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,*
URSUS-19-2200-2017-526,CA0192200,4/3/2017,0:59,EL MONTE,LOS ANGELES,CA,91733,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-2300-2017-846,CA0192300,1/18/2017,12:24,LOS ANGELES,LOS ANGELES,CA,90045,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,4,*
