id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
283,4/24/2014,,227,,0,1,f
365,10/17/2013,,256,,1,0,f
1083,7/17/2009,,109,,0,1,t
254,11/26/2010,3,105,,0,1,f
145,10/29/2010,,124,,0,2,
1025,11/1/2011,,117,,0,1,f
1068,6/8/2011,,29,,1,0,f
902,11/20/2014,,195,,1,0,t
353,6/6/2009,,198,,0,1,f
951,8/11/2010,,29,,1,0,f
1111,2/11/2013,,162,,0,1,f
1088,8/20/2009,1,124,,0,1,f
272,9/30/2009,1,113,,0,1,f
1021,7/20/2010,,125,,0,1,t
1128,6/2/2014,4,267,,0,1,f
135,5/16/2014,,45,,1,0,t
955,8/14/2010,39,29,,1,0,f
248,5/24/2013,29,37,,0,1,f
1016,7/13/2009,5,29,,1,0,f
1062,10/2/2012,,29,,1,0,f
947,10/10/2011,,29,,1,0,f
392,3/8/2013,,105,,0,1,f
909,12/22/2014,31,31,,1,0,t
1127,5/16/2014,,29,,0,1,f
703,9/14/2010,,328,,1,0,t
1112,4/14/2013,,29,,0,1,f
1013,4/27/2011,3,29,,0,1,f
972,8/24/2012,,29,,0,2,f
762,10/11/2013,10,31,,0,1,f
143,8/8/2010,2,50,,0,1,f
688,4/14/2010,2,144,,0,1,f
918,5/26/2012,5,29,,1,0,t
515,1/12/2009,2,,34,1,0,t
1094,4/4/2009,,92,,0,1,f
1126,4/15/2009,1,109,,0,1,f
954,7/5/2010,1,29,,1,0,f
152,1/12/2011,,124,,0,1,f
91,5/28/2011,,217,,0,1,t
584,4/25/2011,,270,,0,1,t
952,8/20/2010,,29,,1,0,f
471,6/14/2009,,77,,1,0,f
911,12/11/2014,,13,,1,0,t
49,1/4/2010,5,86,,1,0,t
393,11/6/2012,,105,,1,0,f
1044,9/30/2010,,385,,1,0,f
956,2/10/2011,3,29,,1,1,f
1120,9/23/2013,,29,,0,1,f
721,2/17/2011,22,79,,1,0,f
843,7/1/2014,7,182,,1,0,t
54,5/4/2011,3,208,,0,1,f
940,8/14/2012,,29,,1,0,f
521,10/22/2013,2,36,,1,0,t
711,6/14/2009,2,160,,1,0,t
805,6/12/2009,3,182,,0,1,f
244,3/19/2014,,255,,0,1,f
1004,1/25/2009,5,157,,1,0,f
561,10/22/2012,1,304,,0,1,f
163,10/28/2009,39,238,,1,0,t
182,4/18/2009,,151,,1,0,f
404,4/14/2011,3,281,,1,0,f
572,1/16/2010,9,195,,0,1,f
915,4/7/2014,1,157,,1,0,t
982,9/27/2014,,121,,1,0,f
405,7/18/2010,,225,,1,0,t
1057,2/18/2012,,46,,1,0,t
986,5/21/2014,,128,,1,0,f
681,7/2/2009,3,58,,0,1,t
919,3/13/2013,,29,,1,0,f
647,1/20/2010,8,84,,1,0,f
178,7/27/2013,15,242,,0,1,f
1018,4/9/2010,4,157,,1,0,f
1077,10/21/2013,5,239,,0,2,f
395,1/24/2011,,105,,1,0,f
98,4/11/2010,,92,,1,0,t
172,6/28/2011,,209,,1,0,f
677,8/27/2013,3,310,,0,1,f
1012,10/5/2011,11,86,,0,1,f
